10846 10846
rr 0.645963 0.354037
rs 0.624242 0.375758
rx 0.666667 0.333333
ry 0.470046 0.529954
rz 0.452381 0.547619
rd 0.657277 0.342723
re 0.474806 0.525194
rf 0.600000 0.400000
rg 0.437500 0.562500
ra 0.457233 0.542767
rb 0.548780 0.451220
rc 0.663462 0.336538
rl 0.384259 0.615741
rm 0.506122 0.493878
rn 0.572816 0.427184
ro 0.621347 0.378653
rh 0.573529 0.426471
ri 0.452558 0.547442
rj 0.329412 0.670588
rk 0.643939 0.356061
e- 0.000000 1.000000
xh 0.575000 0.425000
xi 0.305556 0.694444
xo 0.800000 0.200000
xl 1.000000 0.000000
xm 0.000000 1.000000
xa 0.400000 0.600000
xe 0.611111 0.388889
xt 0.625000 0.375000
xu 0.285714 0.714286
zc 1.000000 0.000000
kc 1.000000 0.000000
kb 0.333333 0.666667
ka 0.301006 0.698994
kf 1.000000 0.000000
ke 0.410138 0.589862
kk 0.522388 0.477612
kj 0.080000 0.920000
ki 0.550279 0.449721
kh 0.755319 0.244681
ko 0.639623 0.360377
kn 1.000000 0.000000
km 0.923077 0.076923
kl 0.514286 0.485714
ks 0.603448 0.396552
kr 0.500000 0.500000
kp 0.666667 0.333333
kw 1.000000 0.000000
kv 0.200000 0.800000
ku 0.704225 0.295775
kt 0.516129 0.483871
kz 1.000000 0.000000
ky 0.545455 0.454545
dn 0.250000 0.750000
do 0.662566 0.337434
dl 0.407407 0.592593
dm 0.644444 0.355556
dj 0.565217 0.434783
dk 0.454545 0.545455
dh 0.537313 0.462687
di 0.473621 0.526379
df 0.833333 0.166667
dg 0.611111 0.388889
dd 0.580645 0.419355
de 0.441144 0.558856
db 0.625000 0.375000
dc 0.000000 1.000000
da 0.376993 0.623007
dz 0.636364 0.363636
dy 0.451613 0.548387
dv 0.428571 0.571429
dw 0.392857 0.607143
dt 0.867925 0.132075
du 0.633721 0.366279
dr 0.584459 0.415541
ds 1.000000 0.000000
qs 1.000000 0.000000
qr 0.000000 1.000000
qu 0.450000 0.550000
qy 1.000000 0.000000
qa 0.882353 0.117647
qe 0.555556 0.444444
qi 0.437500 0.562500
qh 0.000000 1.000000
qj 0.000000 1.000000
qm 1.000000 0.000000
qo 1.000000 0.000000
wa 0.649289 0.350711
jt 0.736842 0.263158
wn 0.500000 0.500000
wm 1.000000 0.000000
wg 0.500000 0.500000
wf 1.000000 0.000000
we 0.495238 0.504762
wd 0.666667 0.333333
jx 0.000000 1.000000
jy 0.222222 0.777778
jz 0.714286 0.285714
wo 0.853659 0.146341
ju 0.576037 0.423963
jv 0.500000 0.500000
wl 0.857143 0.142857
wk 0.500000 0.500000
wj 1.000000 0.000000
wi 0.618605 0.381395
js 0.916667 0.083333
jl 0.538462 0.461538
jm 0.833333 0.166667
jn 0.366667 0.633333
jo 0.529412 0.470588
ws 0.500000 0.500000
ji 0.669355 0.330645
jj 1.000000 0.000000
jk 0.300000 0.700000
jd 0.611111 0.388889
je 0.375556 0.624444
jf 1.000000 0.000000
wh 1.000000 0.000000
ja 0.426952 0.573048
wy 0.552632 0.447368
jc 0.750000 0.250000
ww 1.000000 0.000000
wu 1.000000 0.000000
wt 1.000000 0.000000
wr 0.500000 0.500000
ck 0.747573 0.252427
cj 0.333333 0.666667
ci 0.380952 0.619048
ch 0.596866 0.403134
co 0.643087 0.356913
cm 1.000000 0.000000
cl 0.465116 0.534884
cc 0.545455 0.454545
cb 0.000000 1.000000
ca 0.298990 0.701010
ce 0.479087 0.520913
cd 0.000000 1.000000
cz 1.000000 0.000000
cy 0.400000 0.600000
cs 0.533333 0.466667
cr 0.420000 0.580000
cq 0.125000 0.875000
cv 0.588235 0.411765
cu 0.603774 0.396226
ct 0.608696 0.391304
pr 0.450549 0.549451
ps 0.666667 0.333333
pp 0.692308 0.307692
jg 0.000000 1.000000
pt 0.461538 0.538462
pu 0.565217 0.434783
py 0.750000 0.250000
wz 1.000000 0.000000
pb 1.000000 0.000000
pc 0.000000 1.000000
pa 0.511864 0.488136
pf 0.000000 1.000000
jb 0.750000 0.250000
pe 0.554404 0.445596
pj 1.000000 0.000000
pk 0.333333 0.666667
ph 0.494253 0.505747
pi 0.511111 0.488889
pn 0.166667 0.833333
po 0.616071 0.383929
pl 0.500000 0.500000
pm 0.000000 1.000000
iy 0.305164 0.694836
va 0.530466 0.469534
iz 0.390071 0.609929
